nama_jalan;kecamatan;kelurahan;lat_centroid;lng_centroid;fungsi_jalan;panjang_m;lebar_m;competitor_cafe;competitor_fnb;competitor_laundry;competitor_gym;competitor_fashion;competitor_stationery;competitor_carwash;competitor_photostudio;competitor_barbershop;competitor_salon;competitor_bengkel;competitor_elektronik;demand_university;demand_college;demand_school;demand_office;demand_mall;demand_hospital;transit_bus_stop;transit_bus_station;transit_train_station;transit_public_transport;total_poi_asli;bobot_fungsi;traffic_score;transit_score;total_poi_imputed;total_poi;density_cafe;log_traffic;ratio_bengkel;poi_akademik;poi_komersial;poi_score_cafe;comp_ratio_cafe;poi_score_laundry;comp_ratio_laundry;poi_score_stationery;comp_ratio_stationery;poi_score_photostudio;comp_ratio_photostudio;poi_score_barbershop;comp_ratio_barbershop;poi_score_fnb;comp_ratio_fnb;poi_score_gym;comp_ratio_gym;poi_score_salon;comp_ratio_salon;poi_score_elektronik;comp_ratio_elektronik;poi_score_fashion;comp_ratio_fashion;poi_score_bengkel;comp_ratio_bengkel;poi_score_carwash;comp_ratio_carwash;total_competitor
Jl. Beteng;Semarang Tengah;Kranggan;-6,976797217;110,4250448;Kolektor Sekunder;407,46;7;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;1;2;8,649175385;2,772588722;21;16,4656333;2,454228636;8,649175385;0,000175271;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;9,534161491
Jl. Bima;Semarang Tengah;Pendrikan Kidul;-6,980244605;110,4068831;Lokal Primer;709,17;3;0;0,693147181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0,693147181;3;1;7,663177483;1,386294361;3;3,465735903;0;7,663177483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181
Jl. Brumbungan;Semarang Tengah;Brumbungan;-6,983321857;110,4264449;Kolektor Sekunder;562,83;4;0,693147181;1,098612289;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,412641238;2,772588722;22;16,8710984;1,776735426;8,412641238;0,000222043;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;9,939626599
Jl. Cenderawasih;Semarang Tengah;Tanjungmas;-6,967307159;110,4298739;Kolektor Sekunder;462,84;6,5;0,693147181;1,386294361;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;3;2;8,702496964;2,772588722;23;17,15878048;2,160573848;8,702496964;0,00016617;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,580940216;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;10,22730867
Jl. Dahlia Selatan;Semarang Tengah;Brumbungan;-6,982776813;110,4241755;Kolektor Sekunder;78,1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6,661854741;0;0;0;0;6,661854741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Dahlia Utara;Semarang Tengah;Brumbungan;-6,982366117;110,4240709;Kolektor Sekunder;79,25;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6,67645354;0;0;0;0;6,67645354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Depok;Semarang Tengah;Kembangsari;-6,977198702;110,4185595;Kolektor Sekunder;463,36;10;0,693147181;1,098612289;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;2;2;9,134344465;2,772588722;22;16,8710984;2,158149171;9,134344465;0,000107896;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;9,939626599
Jl. Gajahmada;Semarang Tengah;Miroto;-6,9815068;110,4214404;Arteri Sekunder;1722,76;15;1,098612289;1,098612289;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0;0;1,098612289;1,386294361;0,693147181;1,098612289;1,386294361;0,693147181;0;1,609437912;4;3;11,25835832;4,382026635;27;19,10914498;1,160927814;11,25835832;1,2899E-05;1,098612289;6,643789733;1,098612289;1,046989284;1,098612289;1,297716231;1,098612289;2,197224577;1,098612289;2,197224577;1,098612289;1,297716231;6,643789733;1,046989284;6,643789733;2,197224577;6,643789733;1,297716231;6,643789733;1,297716231;6,643789733;1,046989284;6,643789733;1,297716231;6,643789733;2,197224577;6,761572769
Jl. Gang Baru;Semarang Tengah;Kranggan;-6,976642083;110,425556;Lokal Primer;422,89;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7,433997455;0;0;0;0;7,433997455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Gang Belakang;Semarang Tengah;Kranggan;-6,976881841;110,4260116;Lokal Primer;336,77;4;0;1,386294361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;7,206436637;0;3;1,386294361;0;7,206436637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,386294361
Jl. Gang Besen;Semarang Tengah;Kranggan;-6,975389744;110,4264282;Lokal Primer;399,4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7,376883525;0;0;0;0;7,376883525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Gang Gambiran;Semarang Tengah;Kranggan;-6,976157698;110,4275682;Lokal Primer;314,91;4;0;0,693147181;0,693147181;0;0;0;0;0;0,693147181;0;0;0;0;0;0;1,386294361;0;0;0;0;0;0;6;1;7,139374807;0;6;3,465735903;0;7,139374807;0;0;4,158883083;0;0;0;0;0;0;0;0;0;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;2,079441542
Jl. Gang Lombok;Semarang Tengah;Kauman;-6,974144205;110,426718;Kolektor Sekunder;378,75;4;0;1,609437912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;8,016647877;0;4;1,609437912;0;8,016647877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,609437912
Jl. Gang Mangkok;Semarang Tengah;Kranggan;-6,974999185;110,4261921;Lokal Primer;81,91;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5,794962927;0;0;0;0;5,794962927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Gang Pinggir;Semarang Tengah;Kranggan;-6,976386772;110,4273757;Kolektor Sekunder;479,87;6;0,693147181;1,609437912;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;8;2;8,658595527;2,772588722;24;17,38192403;2,083897722;8,658595527;0,000173628;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,531261677;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;10,45045222
Jl. Gang Tengah;Semarang Tengah;Kranggan;-6,976318116;110,4269819;Lokal Primer;365,53;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7,288326421;0;0;0;0;7,288326421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Gang Warung;Semarang Tengah;Kranggan;-6,974879189;110,42668;Kolektor Sekunder;360,74;6;0,693147181;1,386294361;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;3;2;8,373295107;2,772588722;23;17,15878048;2,772079614;8,373295107;0,000230953;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,580940216;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;10,22730867
Jl. Gelatik;Semarang Tengah;Purwodinatan;-6,968826756;110,4281084;Kolektor Sekunder;96,47;3;0;0,693147181;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;2;2;6,362717711;0;2;1,386294361;0;6,362717711;0;0;2,079441542;0;0;0;0;0;0;0;0;0;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;0,693147181
Jl. Gendingan;Semarang Tengah;Pandansari;-6,972566506;110,419764;Kolektor Sekunder;288,88;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,151206456;0;0;0;0;8,151206456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Imam Bonjol;Semarang Tengah;Pandansari;-6,976638096;110,4166952;Arteri Sekunder;2386,54;10;1,098612289;0,693147181;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0;0;1,098612289;2,302585093;0;1,098612289;1,098612289;0,693147181;0,693147181;1,098612289;18;3;11,17881125;5,66296048;29;20,10239675;0,838033303;11,17881125;1,3967E-05;1,098612289;8,006367568;1,098612289;1,046989284;1,098612289;1,297716231;1,098612289;2,197224577;1,098612289;2,197224577;1,098612289;1,297716231;8,006367568;1,297716231;8,006367568;2,197224577;8,006367568;1,297716231;8,006367568;1,297716231;8,006367568;1,046989284;8,006367568;1,297716231;8,006367568;2,197224577;6,356107661
Jl. Indraprasta;Semarang Tengah;Pendrikan Kidul;-6,979648692;110,4072807;Arteri Sekunder;1091,63;14;1,098612289;0,693147181;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;1,386294361;0;1,098612289;1,386294361;0,693147181;0;1,609437912;3;3;10,7331187;4,382026635;25;18,29821476;1,832122606;10,7331187;2,18105E-05;2,772588722;5,257495372;2,772588722;0,853782987;2,772588722;1,058242006;2,772588722;1,791759469;2,772588722;1,791759469;2,772588722;1,058242006;5,257495372;1,058242006;5,257495372;1,791759469;5,257495372;1,058242006;5,257495372;1,058242006;5,257495372;0,853782987;5,257495372;1,058242006;5,257495372;1,791759469;6,356107661
Jl. Inspeksi Kali Semarang;Semarang Tengah;Kembangsari;-6,97673465;110,4173817;Kolektor Sekunder;7252,82;10;0,693147181;1,098612289;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;1,386294361;0;0,693147181;1,609437912;0,693147181;0;1,791759469;15;2;11,88488481;4,787491743;31;21,59405163;0,137877405;11,88488481;6,89382E-06;0,693147181;4,852030264;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;4,852030264;0,660576691;4,852030264;0,818767782;4,852030264;0,818767782;4,852030264;0,660576691;4,852030264;0,660576691;4,852030264;0,818767782;4,852030264;0,818767782;9,939626599
Jl. Jagalan Barat;Semarang Tengah;Gabahan;-6,979055196;110,4278842;Kolektor Sekunder;219,08;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,469448907;0;0;0;0;7,469448907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Jagalan Timur;Semarang Tengah;Jagalan;-6,978506372;110,4300849;Kolektor Sekunder;282,17;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,722394165;0;0;0;0;7,722394165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Jalak;Semarang Tengah;Purwodinatan;-6,968952404;110,4265668;Kolektor Sekunder;88,96;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;1;2;6,281818048;0;1;0,693147181;0;6,281818048;0;0;2,079441542;0;0;0;0;0;0;0;0;0;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;0
Jl. K.H. Agus Salim;Semarang Tengah;Purwodinatan;-6,970490867;110,4266924;Kolektor Sekunder;904,41;16;0,693147181;1,098612289;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;1,386294361;0;0,693147181;0,693147181;0,693147181;0;0,693147181;7;2;10,27305325;2,772588722;24;17,56424559;1,105693214;10,27305325;3,45517E-05;0,693147181;4,852030264;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;4,852030264;0,660576691;4,852030264;0,818767782;4,852030264;0,818767782;4,852030264;0,660576691;4,852030264;0,660576691;4,852030264;0,818767782;4,852030264;0,818767782;9,939626599
Jl. K.H. Wahid Hasyim;Semarang Tengah;Kauman;-6,975730628;110,4228094;Kolektor Sekunder;531,45;7;0,693147181;1,098612289;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;1;2;8,914800844;2,772588722;22;16,8710984;1,881644557;8,914800844;0,000134385;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;9,939626599
Jl. K.H.A. Dahlan;Semarang Tengah;Pekunden;-6,987767008;110,4262365;Kolektor Sekunder;704,67;8;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;4;2;9,33040702;2,772588722;22;17,15878048;1,419103978;9,33040702;8,86861E-05;2,772588722;2,772588722;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;9,534161491
Jl. K.S. Tubun;Semarang Tengah;Sekayu;-6,977258766;110,414789;Lokal Primer;175,97;5;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6,78088735;0;1;0,693147181;0;6,78088735;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181
Jl. Kanjengan;Semarang Tengah;Kauman;-6,973835962;110,4242981;Kolektor Sekunder;363,5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,687997166;0;0;0;0;7,687997166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Kapten Piere Tendean;Semarang Tengah;Sekayu;-6,978201109;110,4138271;Kolektor Sekunder;487,39;10;0,693147181;1,098612289;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;3;2;9,184899479;2,772588722;22;16,8710984;2,051745009;9,184899479;0,000102577;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,660576691;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,660576691;2,772588722;0,660576691;2,772588722;0,818767782;2,772588722;0,818767782;9,939626599
Jl. Karanganyar;Semarang Tengah;Gabahan;-6,981330173;110,4263063;Kolektor Sekunder;622,1;6;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;1,098612289;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;1,098612289;0;0;1,098612289;1,386294361;0;0,693147181;0,693147181;0,693147181;0;0,693147181;6;2;8,918141447;2,772588722;24;17,56424559;1,607458608;8,918141447;0,000133937;1,098612289;4,852030264;1,098612289;1,058242006;1,098612289;1,058242006;1,098612289;0,853782987;1,098612289;1,058242006;1,098612289;1,058242006;4,852030264;1,058242006;4,852030264;1,058242006;4,852030264;1,058242006;4,852030264;0,853782987;4,852030264;0,853782987;4,852030264;1,058242006;4,852030264;1,058242006;9,534161491
Jl. Karangsaru;Semarang Tengah;Jagalan;-6,980578188;110,4302153;Kolektor Sekunder;276,32;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,106767801;0;0;0;0;8,106767801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Karangwulan;Semarang Tengah;Brumbungan;-6,984469547;110,4281125;Kolektor Sekunder;234,59;5;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7,760850587;0;1;0,693147181;0;7,760850587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181
Jl. Kauman;Semarang Tengah;Kauman;-6,974255561;110,4229398;Kolektor Sekunder;403,01;4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;0;1;2;8,196461618;0;1;0,693147181;0;8,196461618;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0
Jl. Kemuning;Semarang Tengah;Brumbungan;-6,984577406;110,4240735;Kolektor Sekunder;264,51;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,65779306;0;0;0;0;7,65779306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Kenari;Semarang Tengah;Purwodinatan;-6,970062566;110,4261237;Kolektor Sekunder;227,94;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;0;0;1;2;7,509072218;0;1;0,693147181;0;7,509072218;0;0;2,079441542;0;0;0;0;0;0;0;0;0;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;0
Jl. Kepodang;Semarang Tengah;Purwodinatan;-6,9693829;110,4271335;Kolektor Sekunder;328,19;4;1,791759469;1,609437912;0;0;0;0;0;0;0;0;0;0;0;0;0;1,386294361;0;0;0;0;0;0;12;2;7,873415055;0;12;4,787491743;15,23507724;7,873415055;0;0;4,158883083;0;0;0;0;0;0;0;0;0;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;4,158883083;0;3,401197382
